"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"Massacre_Bay__1_Island","-0.232842315251419","-0.186939646165424","7","8","0.909235449121171","-0.917277660626267","0.825472322454278","-0.0883064922258766","0.0994573106529039","0.570666149865277","-0.893148577767667","0.517620972010106"
"Matia_Island","-0.0200435742612729","0.136170729809287","80","41","0.395901835969268","-0.519767897799955","0.207339289658835","0.00468452047740283","-0.0334375444170646","0.825231881149086","-0.303704255800165","0.3799483855891"
"Matia_West__1","-0.131136840675803","-0.168252288563318","43","14","0.85140121649292","-0.358972808611032","0.433203704386062","0.00225255170289779","-0.514649614777351","0.025530023848147","0.0675792384771255","0.966225094483372"
"Matia_West__2","0.00923364143775145","-0.0556425196016977","13","9","0.85163413533379","-0.650438364148448","0.780190686227346","-3.896330707328e-16","-0.638470326881093","0.0682335707636537","-0.0526238710010042","1.32956452476319"
"McConnell_Island","0.0144674616146495","-0.0549749354296119","66","35","0.680049081179904","-0.264407977513494","0.403292771602017","-0.0793865321013947","-0.135725008892037","0.761694224560758","-0.311883933230129","0.424560886811413"
"Near_Decatur_Island___Unnamed__3","0.211169071382424","-0.128234572361827","26","14","0.209619595016409","-0.199100409082663","0.877907696571166","5.99647201551598e-18","-0.0976391877200759","0.686303755583994","-0.38810520879112","0.583383584231271"
"Nob_Island","0.483124912218958","-0.19970658312419","33","21","0.0065005196456262","0.201102193271943","1.16456079741435","0.0660383351821517","-0.383769097446527","0.0773774732716479","-0.0511443449250702","0.950759210182427"
"North_Finger_Island","-0.0907174213492347","0.0998064658361403","60","26","0.370843882150787","-0.614024507270402","0.232976732899652","-0.0107029152697721","-0.224486773120175","0.287331216166705","-0.184118682060843","0.611686397761647"
"Oak_Island","0.161284426458808","0.031683535230935","21","17","0.6687878998289","-0.480663525916205","0.739865308371951","0.0627041860158627","-0.474965429282222","0.0710052291919445","-0.0485973667908347","1.123936597387"
"Pole_Island","0.155057892349627","-0.0982470362839903","20","15","0.289364343564044","-0.227603370107173","0.734213227374406","-0.0255161640785615","-0.244743616537942","0.327787187781109","-0.230672602209344","0.669127507128106"
"Posey_Island","0.183052204220917","-0.022855220621848","30","26","0.39250156188222","-0.274638490517911","0.686453340203441","-0.0298001065877797","-0.503139616291261","0.0476570572959838","0.00507110925358896","0.941607910153375"
"Reef_Island","-0.0766484991073317","0.0437211701674352","49","22","0.595209724174905","-0.57027993160659","0.329540593057056","-0.101859914032415","-0.322314005950929","0.295025065685852","-0.197569139497904","0.638477323334933"
"Reeflet_Island","-0.0821851652799535","-0.196893414470777","11","15","0.853758849678737","-1.22712812193133","1.45654462031298","-0.02432890021364","0.132652072228593","0.734213860731465","-1.14125250528792","0.827290560403458"
"Rim_Island","0.3332236543993","0.0455200864768869","21","12","0.443415408893454","-0.468566280863766","1.04397341670859","-2.75573215040887e-16","-0.104130450107602","0.714809419972022","-0.474531667703948","0.682792567919151"
"Ripple_Island","0.0631427760625333","0.15568310291139","31","16","0.683840401755959","-0.551787594963823","0.36670694126611","0.0204881418171023","-0.351028291343639","0.0912533942240803","-0.0626757790193063","0.805708645340788"
"Rum_Island","0.125155848101463","-0.132167506862976","36","15","0.333803216449558","-0.272470927536608","0.787117637465486","-0.0262685805497134","-0.452730828550164","0.0794651670606559","-0.0522683317622365","0.905192827763139"
"Saddlebag_Island","0.0776618314028163","0.0867018717551921","80","46","0.955265493988598","-0.327801985077335","0.309721904372584","0.0171067878160928","-0.211126507221569","0.19072187543147","-0.115307084876442","0.571773674951766"
"Secar_Rock","-0.0344092157472833","0.403110065346276","3","2","0.702668924740306","-4.5531605952226","3.67812203303549","-0.114959597622698","0.739895422771582","0.368775722149622","-3.73068819951654","2.02097815872798"
"Sentinel_Island","0.199571029065371","-0.15014846771613","47","28","0.0666812196558741","-0.0247342107319276","0.724173204294929","-0.0163536722834271","-0.219343008560442","0.297001544793457","-0.182723900215087","0.588702572769117"
"Skull_Island","0.15671217469943","0.0699875185442456","40","38","0.71747287799496","-0.390606707508909","0.564056019819279","0.0203213295820906","-0.0947616049138908","0.603391687130373","-0.324925607862944","0.555091476854907"
"Small_Island_near_Charles","0.30433591390141","-0.272789388291958","13","3","0.376318861474471","-1.14404984973348","2.29830045412021","5.80214962613973e-16","-0.136400319412978","0.818140924089703","-1.59639214761993","1.86919278644589"
"Swirl_Rock_Central","0.232293110720817","0.0371882444401775","12","4","0.516792160314671","-0.434181876700805","0.824391609262084","-0.051224217560794","0.170434842942772","0.535215931203507","-1.01202627789229","0.568708156885156"
"Turn_Island","0.0391989348075509","-0.001033936922715","78","41","0.830511115478339","-0.331192547807738","0.41165829126827","0.00345628283059429","0.00166966215910767","0.991891480056869","-0.345723570019897","0.349296811362871"
"Turnlet_Island","0.0372270227556688","0.304114331860973","19","17","0.341004373419022","-0.830954136549939","0.29717951833933","0.00613328596900279","-0.0827766588632753","0.717977296391058","-0.409363664736036","0.587183554400592"
"Unnamed__1_near_Long_Island","0.0959479719226543","0.054528749829657","23","12","0.890511093674632","-0.568058271746167","0.650896715932162","-0.00609910375979714","-0.373847647038838","0.18239428403804","-0.181993639189325","0.917490725747406"
