"","meanNNFDnatives","meanNNFDinvasives","n.natives","n.invasives","t.NNFD.p.value","t.NNFD.conf.int.Lo","t.NNFD.conf.int.Hi","meanMFDnat_nat","meanMFDinv_nat","t.MFD.p.value","t.MFD.conf.int.Lo","t.MFD.conf.int.Hi"
"Near_Decatur_Island___Unnamed__3","-0.0199450094120848","0.137911268219807","6","3","0.330328567259561","-0.612249416800328","0.296536861536543","-0.0287393529392783","0.124565899045531","0.343869316424756","-0.597787583072811","0.291177079103192"
"Nob_Island","-0.0845358399068814","0.132325867851795","7","3","0.0216527986060118","-0.390199489998169","-0.0435239255191841","-0.102642172407898","0.234738023180577","0.00403695930665998","-0.521932421112129","-0.152827970064821"
"North_Finger_Island","0.14740268986205","-0.0196312226896511","9","3","0.120712061480532","-0.0526221999044592","0.386690025007862","-0.0286417957301701","0.145065101537808","0.181418879798922","-0.443564353360577","0.0961505588246205"
"Oak_Island","-0.071760955402898","0.0775009377148538","4","3","0.0827791826614682","-0.332016407178665","0.0334926209431617","-0.177756519640625","0.19987739651787","0.00525150377437202","-0.569241507332679","-0.186026324984312"
"Pole_Island","-0.0364955886982675","0.105331840692167","6","4","0.0840196479682224","-0.307663590266848","0.0240087314859789","-0.047431633085309","0.169764257370529","0.0254455197180221","-0.397362276724779","-0.0370295041868965"
"Posey_Island","-0.0395129347055548","0.105143870538892","8","6","0.0660252451825342","-0.301153222967959","0.0118396124790658","-0.088414522020265","0.212585904699118","0.000273139820337238","-0.430090184737081","-0.171910668701685"
"Reef_Island","0.00836592189636026","0.048650897804502","6","4","0.707076761374436","-0.288883350179553","0.208313398363269","-0.0403586341469042","0.147250873288525","0.128107309367192","-0.442683363856904","0.0674643489860465"
"Reeflet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Rim_Island","0","0.0457521498302087","2","3","0.59105624603161","-0.646343286401889","0.554838986741472","-0.0574238115437395","0.127340572380798","0.13510474196792","-0.482706261444765","0.113177493595691"
"Ripple_Island","-0.0079329856164606","0.0742222504921715","5","5","0.170417551789199","-0.211924641166673","0.0476141689494091","-0.0152954311691597","0.125527816648087","0.065603751021159","-0.294071379853652","0.0124248842191594"
"Rum_Island","-9.49893209499994e-05","0.0750984090861473","8","4","0.284314767916234","-0.224711562457468","0.0743247656432732","0.00672187429582975","0.184332472247049","0.0313427371535134","-0.335294788723187","-0.0199264071792526"
"Saddlebag_Island","0.0359610393962774","0.0496012244056065","10","11","0.831285470137","-0.14695791794323","0.119677547924572","-0.0618452258630629","0.0879706645735089","0.0711590638194133","-0.314407059774136","0.0147752789009924"
"Secar_Rock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sentinel_Island","-0.0655669917376795","0.0277272534476692","4","5","0.262799884641713","-0.278149352716199","0.0915608623455013","-0.131697190809755","0.0604346043369865","0.113230515928292","-0.458475229763466","0.0742116394699829"
"Skull_Island","0.0227231337014127","0.107093488027494","6","8","0.589947381694867","-0.448014206694244","0.279273498042081","-0.0826571120599122","0.144898333313666","0.12689626526433","-0.538996943441445","0.0838860526942889"
"Small_Island_near_Charles","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Swirl_Rock_Central","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Turn_Island","0.0107937170520999","0.00392034303690311","17","8","0.894599477211202","-0.105996747339207","0.119743495369601","-0.0587627259169549","0.0842121124760353","0.0405317061999848","-0.279043764350654","-0.00690591243532666"
"Turnlet_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed__1_near_Long_Island","0","0.00801914948288698","2","4","0.962456971056224","-0.92068888124229","0.904650582276516","-0.0031784371575362","0.0511312117246475","0.617381864015912","-0.553656860524021","0.445037562759654"
"Unnamed__2_near_Long_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed__3_near_Long_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_72_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Unnamed_west_of_Castle_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Victim_Island","-0.00632704430199538","0.11088685150067","8","7","0.120549743777993","-0.27022279895206","0.0357950073467286","-0.104260503231882","0.148116643651573","0.00713261509303536","-0.417941534145055","-0.0868127596218547"
"Willow_Island","0","-0.0208834002707998","4","6","0.699578686897277","-0.0995202431827347","0.141287043724334","-0.184665908615115","0.167291616085721","9.15826546547541e-05","-0.460055451282091","-0.243859598119582"
"Yellow_Island","0.0533127444061132","-0.0347160167859644","11","6","0.344197075152566","-0.104157426209488","0.280214948593643","0.0019586066806453","-0.00337939187343725","0.941536572203049","-0.147243878452533","0.157919875560698"
