"","Total tips with trait","Median (tot)","Min (tot)","Max (tot)","Total native tips with Trait","Median (nat)","Min (nat)","Max (nat)","Total invasive tips with Trait","Median (inv)","Min (inv)","Max (inv)","p.value","conf.int.Lo","conf.int.Hi"
"Low_Island","12","0.449350321970414","0.137225760919321","0.639576610664788","4","0.376928886308421","0.137225760919321","0.639576610664788","8","0.472008176748044","0.404994474649194","0.606793017001165","0.378282159904669","-0.214602128343747","0.434216120536291"
"Mackaye_Harbor_Island","7","0.397599775082757","0.257678574869184","0.704150516839799","4","0.358447071716551","0.257678574869184","0.544068044350276","3","0.404994474649194","0.26171023123744","0.704150516839799","0.63042331165302","-0.390565106154048","0.545148206645388"
"Massacre_Bay__1_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Matia_Island","58","0.333733196435331","-0.0510769791498749","0.777426822389311","35","0.303196057420489","-0.0510769791498749","0.777426822389311","23","0.404994474649194","0.199785859458618","0.710117365111816","0.00716481199481705","0.035650616843247","0.216244076112658"
"Matia_West__1","29","0.331709106123538","-0.0510769791498749","0.777426822389311","22","0.25887498142713","-0.0510769791498749","0.777426822389311","7","0.432969290874406","0.331709106123538","0.606793017001165","0.00170762314727274","0.0836646499575378","0.314323562552206"
"Matia_West__2","11","0.39766992226363","0.260071387985075","0.544068044350276","6","0.358447071716551","0.260071387985075","0.544068044350276","5","0.404994474649194","0.331709106123538","0.517195897949974","0.414357896778516","-0.0728789348453664","0.160940894136369"
"McConnell_Island","38","0.341376361958195","-0.0510769791498749","0.606793017001165","24","0.29769633788789","-0.0510769791498749","0.544068044350276","14","0.401332198456412","0.199785859458618","0.606793017001165","0.00854811586894343","0.0351827308869468","0.22315130213035"
"Near_Decatur_Island___Unnamed__3","15","0.357934847000454","0.0897894501273871","0.704150516839799","9","0.357934847000454","0.0897894501273871","0.450399929080105","6","0.366713604505377","0.26171023123744","0.704150516839799","0.343856919618323","-0.0941037498961933","0.240821454133857"
"Nob_Island","21","0.413030919170939","0.0791812460476248","0.606793017001165","13","0.301029995663981","0.0791812460476248","0.544068044350276","8","0.50074786864838","0.404994474649194","0.606793017001165","0.000620099585073284","0.10264412293531","0.313348746957657"
"North_Finger_Island","31","0.39766992226363","-0.0510769791498749","0.777426822389311","21","0.340444114840118","-0.0510769791498749","0.777426822389311","10","0.446342902511854","0.26171023123744","0.606793017001165","0.0425930546183094","0.00434778733151571","0.238677012528863"
"Oak_Island","18","0.36667853091494","0.0791812460476248","0.606793017001165","10","0.311245212885417","0.0791812460476248","0.544068044350276","8","0.415974972213333","0.26171023123744","0.606793017001165","0.0887869899512678","-0.0202369915896052","0.258418230061136"
"Pole_Island","16","0.401297124865975","0.137225760919321","0.606793017001165","9","0.319294368350346","0.137225760919321","0.544068044350276","7","0.545885897827715","0.331709106123538","0.606793017001165","0.00620354213140747","0.0581097313827161","0.289866249404727"
"Posey_Island","27","0.335757286747124","0.0791812460476248","0.710117365111816","13","0.260071387985075","0.0791812460476248","0.544068044350276","14","0.45986567967479","0.127844626978653","0.710117365111816","0.00911521884871653","0.0460411384440974","0.293187894544704"
"Reef_Island","30","0.35246514208486","0.0740945660028265","0.704150516839799","19","0.260071387985075","0.0740945660028265","0.639576610664788","11","0.426955469777473","0.26171023123744","0.704150516839799","0.00271272966851335","0.0698768828716844","0.296214072269636"
"Reeflet_Island","10","0.401332198456412","0.257678574869184","0.704150516839799","2","0.288486471609765","0.257678574869184","0.319294368350346","8","0.415974972213333","0.262451089730429","0.704150516839799","0.0361285173134947","0.0132373210775284","0.281598051684411"
"Rim_Island","13","0.397599775082757","0.137225760919321","0.606793017001165","8","0.3386146076754","0.137225760919321","0.544068044350276","5","0.459716514149302","0.331709106123538","0.606793017001165","0.0938388692969837","-0.0241124065348613","0.26165297362178"
"Ripple_Island","20","0.360050495969127","0.137225760919321","0.606793017001165","13","0.319294368350346","0.137225760919321","0.544068044350276","7","0.404994474649194","0.332500429922667","0.606793017001165","0.0451057652837084","0.00279882026256771","0.216177864700564"
"Rum_Island","21","0.397599775082757","0.083220737543155","0.606793017001165","15","0.303196057420489","0.083220737543155","0.544068044350276","6","0.455627654562129","0.39766992226363","0.606793017001165","0.00284855223801057","0.067828327725943","0.272499003601442"
"Saddlebag_Island","42","0.338100700793621","-0.0510769791498749","0.639576610664788","24","0.311245212885417","-0.0510769791498749","0.639576610664788","18","0.37599495590923","0.199785859458618","0.606793017001165","0.0560193396093413","-0.00247198389708416","0.185995837556867"
"Secar_Rock","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Sentinel_Island","30","0.401251819441784","0.0791812460476248","0.55258454237592","16","0.310162182007164","0.0791812460476248","0.544068044350276","14","0.415974972213333","0.26171023123744","0.55258454237592","0.0372019335177135","0.00614580718576458","0.184482247039644"
"Skull_Island","28","0.346846066873789","0.0791812460476248","0.777426822389311","14","0.311245212885417","0.0791812460476248","0.777426822389311","14","0.401332198456412","0.138069992648868","0.704150516839799","0.168369583347878","-0.042524705534283","0.230499397136687"
"Small_Island_near_Charles","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Swirl_Rock_Central","7","0.404994474649194","0.230448921378274","0.544068044350276","4","0.358447071716551","0.230448921378274","0.544068044350276","3","0.484299839346786","0.404994474649194","0.517195897949974","0.262082392138627","-0.105157805715747","0.297112392432223"
"Turn_Island","51","0.332500429922667","-0.0510769791498749","0.639576610664788","30","0.29769633788789","-0.0510769791498749","0.639576610664788","21","0.346995437169266","0.127814287726239","0.606793017001165","0.0404308373511544","0.0041398997013491","0.178134012696975"
"Turnlet_Island","16","0.401251819441784","0.0897894501273871","0.704150516839799","7","0.319294368350346","0.0897894501273871","0.544068044350276","9","0.426955469777473","0.26171023123744","0.704150516839799","0.0857358696878584","-0.0232896032054912","0.308979185597681"
"Unnamed__1_near_Long_Island","15","0.404994474649194","0.230448921378274","0.572146914628918","6","0.358447071716551","0.230448921378274","0.544068044350276","9","0.459716514149302","0.26171023123744","0.572146914628918","0.256173848724085","-0.0579191868955684","0.194790311832185"
"Unnamed__2_near_Long_Island","11","0.335757286747124","0.230448921378274","0.544068044350276","4","0.358447071716551","0.230448921378274","0.544068044350276","7","0.335757286747124","0.26171023123744","0.517195897949974","0.979091894686765","-0.19485854849491","0.198988429905716"
"Unnamed__3_near_Long_Island","8","0.472008176748044","0.230448921378274","0.572146914628918","2","0.27487164486431","0.230448921378274","0.319294368350346","6","0.515092868587251","0.432969290874406","0.572146914628918","0.0651469801278614","-0.0440874331057713","0.510554522673204"
"Unnamed_72_Island","10","0.415974972213333","0.245657154031856","0.639576610664788","4","0.431681206350311","0.245657154031856","0.639576610664788","6","0.415974972213333","0.26171023123744","0.606793017001165","0.974655002873656","-0.271224266216068","0.278262515102974"
"Unnamed_west_of_Castle_Island","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Victim_Island","29","0.357934847000454","0.0791812460476248","0.704150516839799","17","0.301029995663981","0.0791812460476248","0.544068044350276","12","0.443335991963387","0.225567940274959","0.704150516839799","0.00497548174134502","0.0511740023670391","0.255560077477947"
"Willow_Island","23","0.346995437169266","0.0341299610843873","0.606793017001165","14","0.276134003170183","0.0341299610843873","0.544068044350276","9","0.426955469777473","0.331709106123538","0.606793017001165","0.00177747937293252","0.0753027444613404","0.283805102186487"
"Yellow_Island","50","0.382966118934256","0.0740945660028265","0.777426822389311","26","0.311245212885417","0.0740945660028265","0.777426822389311","24","0.43936417402156","0.195899652409234","0.704150516839799","0.00878661667553878","0.0309088182705723","0.203166901319574"
