"","Species.Status","Nearest.native","MinDist.Nearest.native","MeanDist.NativeCommunity","Nearest.invasive","MinDist.Nearest.invasive","MeanDist.InvasiveCommunity"
"Danthonia_californica","n","Distichlis_spicata","43.875464","377.897758697778","Vulpia_myuros","81.290102","314.70086385"
"Distichlis_spicata","n","Danthonia_californica","43.875464","377.897758697778","Vulpia_myuros","81.290102","314.70086385"
"Carex_lyngbyei","n","Carex_obnupta","8.315714","381.886583995556",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Carex_obnupta","n","Carex_lyngbyei","8.315714","381.886583995556",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Carex_inops","n",".Carex_lyngbyei.Carex_obnupta","12.279282","381.904199853333",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Carex_pansa","n","Carex_deweyana","9.776044","381.921693391111",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Carex_deweyana","n","Carex_pansa","9.776044","381.921693391111",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Eleocharis_palustris","n","Bolboschoenus_maritimus","49.311638","382.828082288889",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Bolboschoenus_maritimus","n","Eleocharis_palustris","49.311638","382.828082288889",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Juncus_effusus","n","Juncus_bufonius","25.663082","383.405830866667",".Vulpia_bromoides.Vulpia_myuros","173.693027","334.501491421429"
"Juncus_bufonius","n","Juncus_effusus","25.663082","383.405830866667",".Vulpia_bromoides.Vulpia_myuros","173.693027","334.501491421429"
"Juncus_balticus","n",".Juncus_bufonius.Juncus_effusus","30.012223","383.425159391111",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Luzula_comosa","n","Juncus_balticus","83.321312","383.899017968889",".Vulpia_bromoides.Vulpia_myuros","173.693026","334.501490421429"
"Typha_latifolia","n","Vulpia_microstachys","180.339052","387.193313924444",".Vulpia_bromoides.Vulpia_myuros","180.339052","335.92563885"
"Toxicoscordion_venenosum","n","Vulpia_microstachys","199.384442","389.901991613333",".Vulpia_bromoides.Vulpia_myuros","199.384442","340.00679385"
"Maianthemum_racemosum","n","Maianthemum_dilatatum","4.892872","392.185724484444","Asparagus_officinalis","65.827239","350.14570005"
"Maianthemum_dilatatum","n","Maianthemum_racemosum","4.892872","392.185724484444","Asparagus_officinalis","65.827239","350.14570005"
