Row.names,Status,Habit,woodiness,sla,leafletSize,seedMass,leafN,maxHeight
Pyrus_calleryana,i,s,NA,NA,NA,12.9,1.6,NA
Pyrus_communis,i,s,W,62.06328908,NA,32.2815353,1.374263439,15
Quercus_garryana,n,t,W,71.33994171,22.39204267,4273.643507,NA,25
Ranunculus_californicus,n,p,W,NA,NA,2.364192149,NA,0.6
Ranunculus_occidentalis,n,p,NA,NA,NA,2.538461945,NA,0.6
Ranunculus_uncinatus,n,p,NA,NA,NA,0.698538474,NA,0.9
Ribes_divaricatum,n,s,NA,345.84,11.98,2.06,2.28,2.666666667
Ribes_lacustre,n,s,W,NA,NA,0.919779678,NA,2
Ribes_sanguineum,n,s,W,220.7260746,32.95499962,2.592964007,2.54,2.164556962
Rosa_gymnocarpa,n,s,W,NA,1.91,21.0546251,NA,1.5
Rosa_nutkana,n,s,W,NA,NA,11.87681526,NA,3
Rubus_armeniacus,i,s,W,NA,NA,NA,NA,NA
Rubus_laciniatus,i,s,NA,NA,NA,NA,NA,NA
Rubus_leucodermis,n,s,NA,297.2710748,22.96548874,1.013653195,NA,2
Rubus_parviflorus,n,s,W,449.36,49.56175317,0.994691291,2.19,1.985294118
Rubus_spectabilis,n,s,W,185.2408199,19.70796505,3.151148546,NA,4
Rubus_ursinus,n,s,W,183.0051589,12.58190504,2.017121105,2.01,2.903225806
Rubus_vestitus,i,p,W,NA,NA,NA,NA,NA
Rumex_acetosella,i,a,NA,280.4774555,1.652544532,0.501486817,2.498445741,0.241627287
Rumex_conglomeratus,i,p,H,220,41.9,1.33498522,NA,1
Rumex_crispus,i,p,H,223.1873168,141.0409835,1.410311714,NA,0.461538462
Rumex_occidentalis,n,p,H,NA,NA,1.91517306,NA,1.5
Rumex_transitorius,n,p,NA,NA,NA,NA,NA,NA
Sagina_decumbens,n,a,NA,NA,NA,0.011,NA,0.15
Sagina_maxima,n,p,NA,NA,NA,NA,NA,NA
Salix_hookeriana,n,s,NA,NA,NA,NA,NA,NA
Salix_lasiandra,n,s,NA,NA,NA,NA,NA,NA
Salix_scouleriana,n,s,NA,NA,NA,NA,NA,NA
Salix_sitchensis,n,s,NA,NA,NA,NA,NA,NA
Sambucus_racemosa,n,s,NA,281.1331973,106.9625018,1.88860629,5.99,3.318277634
Sanicula_arctopoides,n,p,W,NA,NA,2.824666788,NA,0.3
Sanicula_bipinnatifida,n,p,NA,NA,NA,1.928,NA,0.6
