Species,Status,Maximum Height (m),Seed Mass (mg),SLA (cm^2/g),Leaf Size (cm^2),Leaf Nitrogen (%)
Gnaphalium_palustre,n,NA,NA,NA,NA,NA
Goodyera_oblongifolia,n,0.4,0.001414214,NA,NA,NA
Grindelia_hirsutula,n,0.8,3.825178447,NA,NA,NA
Grindelia_integrifolia,n,0.8,3.573,NA,NA,NA
Hedera_helix,i,2.857142857,25.07291468,135.5730942,13.60682824,1.68358219
Hemizonella_minima,n,NA,NA,NA,NA,NA
Heracleum_maximum,n,3,7.386065194,NA,NA,NA
Heuchera_micrantha,n,0.6,0.037393803,NA,NA,NA
Hieracium_albiflorum,n,1.2,0.374383107,NA,NA,NA
Holcus_lanatus,i,0.366650502,0.270979825,325.8784906,7.040781333,2.146392322
Holodiscus_discolor,n,2.857585151,0.149720368,152.1522368,7.874762381,1.760585635
Honckenya_peploides,n,0.4,7.520212763,177.5415379,0.391990694,NA
Hordeum_brachyantherum,n,1,2.66931099,NA,NA,NA
Hordeum_depressum,i,NA,NA,NA,NA,NA
Hordeum_geniculatum,i,NA,NA,NA,NA,NA
Hordeum_jubatum,i,0.6,1.573048776,204.2949934,1.81,2.05750318
Hordeum_murinum,i,0.5,4.719305349,318.4243291,2.095163108,3.05
Hutchinsia_procumbens,n,NA,NA,NA,NA,NA
Hypericum_perforatum,i,0.75,0.125809443,301.1697141,1.245459665,NA
Hypochaeris_glabra,i,0.4,0.665028787,355.603754,4.087824775,NA
Hypochaeris_radicata,i,0.25,0.848399925,446.5922825,17.14523776,NA
Ilex_aquifolium,i,8.214285714,31.20906646,67.59099905,18.26028484,1.584111911
Iris_germanica,i,NA,NA,130.7746594,130.090215,NA
Jacobaea_vulgaris,i,NA,0.197991572,253.2118534,45.76078352,NA
Juncus_balticus,n,0.6,0.047412099,NA,NA,NA
Juncus_bufonius,n,0.163636364,0.016696985,174.6713331,0.748999332,NA
Juncus_effusus,n,1.090909091,0.017039825,76.55077725,36.04692838,1.32462272
Juncus_laccatus,n,NA,NA,NA,NA,NA
Juniperus_maritima,n,NA,NA,NA,NA,NA
Koeleria_macrantha,n,0.3,0.294366433,127.8436505,4.54,1.81
Lactuca_muralis,i,0.9,0.308787305,602.3291118,NA,NA
Lactuca_serriola,i,1.5,0.550291474,170.9255951,59.93,2.8
Lamium_purpureum,i,0.423529412,0.781097702,343.1070196,4.771284233,NA
Lapsana_communis,i,0.692307692,0.902470091,477.2848377,48.7603066,NA
Lathyrus_aphaca,i,NA,15.15694005,NA,NA,NA
Lathyrus_japonicus,n,1.5,27.32842809,NA,NA,NA
Lathyrus_nevadensis,n,1,16.7,NA,NA,NA
Lemna_turionifera,n,NA,NA,NA,NA,NA
Lepidium_virginicum,n,0.6,0.488408458,251.0199637,6.234109127,NA
Leymus_mollis,n,1.5,NA,NA,NA,NA
Lilium_columbianum,n,1.2,2.646184389,NA,NA,NA
Linaria_genistifolia,i,1.2,0.1612,NA,NA,NA
Linnaea_borealis,n,0.1,1.774326032,260.8748408,0.802690579,1.188410362
Listera_cordata,n,0.25,NA,361.7306621,1.958353694,NA
Lithophragma_parviflorum,n,NA,NA,NA,NA,NA
Lolium_perenne,i,0.409090909,1.881075298,259.0771857,3.922499203,3.110111002
Lomatium_nudicaule,n,0.9,14.91407469,NA,NA,NA
Lomatium_utriculatum,n,NA,NA,NA,NA,NA
Lonicera_ciliosa,n,NA,NA,NA,NA,NA
Lonicera_hispidula,n,6,7.219597336,112.439233,6.28,1.2
Lonicera_involucrata,n,5,1.481234958,140.1127538,23.41498703,NA
Lotus_corniculatus,i,0.3,1.211548071,245.7490956,1.302599925,2.901344195
Lotus_purshiana,n,NA,NA,NA,NA,NA
Lupinus_bicolor,n,0.4,7.623136267,NA,NA,2.68
Lupinus_microcarpus,n,NA,21.89243692,NA,NA,NA
Luzula_comosa,n,NA,0.693606115,NA,NA,NA
Maianthemum_dilatatum,n,0.35,17.99179271,NA,NA,NA
Maianthemum_racemosum,n,1,34.46429498,NA,NA,NA
Malus_fusca,n,12,18.74490249,157,NA,NA
Malus_pumila,i,12,22.35872906,170.68,NA,1.734921445
Marah_oreganus,n,NA,NA,NA,NA,NA
Melica_bulbosa,n,NA,NA,NA,NA,NA
Melica_subulata,n,NA,NA,NA,NA,NA
Micranthes_integrifolia,n,NA,NA,NA,NA,NA
Mimulus_alsinoides,n,0.25,0.0361314,NA,NA,NA
Mimulus_guttatus,n,0.8,0.019537645,635.3007589,18.29471628,NA
Minuartia_rubella,n,0.15,0.080458744,NA,NA,NA
Minuartia_tenella,n,NA,NA,NA,NA,NA
Monotropa_uniflora,n,0.3,NA,NA,NA,1.97
Montia_fontana,n,0.2,0.262004419,534.0600126,0.108313716,NA
Montia_parvifolia,n,NA,NA,NA,NA,NA
Myosotis_discolor,i,0.5,0.204658006,298.7326159,0.67368278,NA
Myosotis_micrantha,i,NA,NA,NA,NA,NA
Myosurus_minimus,n,0.1,0.07661638,206.8060184,0.827786772,NA
Narcissus_pseudonarcissus,i,NA,5.235281254,192.9352223,17.31317995,4.3
Nemophila_parviflora,n,0.3,4.691789637,NA,NA,NA
Nepeta_cataria,i,1,0.55148294,308.650226,4.014841737,NA
Oemleria_cerasiformis,n,3,192.045805,166.155671,15.61061777,1.92
Oenanthe_sarmentosa,n,1,2.186280128,NA,NA,NA
Olsynium_douglasii,n,0.3,2.7284,NA,NA,NA
Opuntia_fragilis,n,0.2,22.36643436,NA,NA,NA
Orobanche_californica,n,0.35,0.011,NA,NA,NA
Orobanche_uniflora,n,0.15,0.00652469,NA,NA,NA
Osmorhiza_chilensis,n,NA,6.650562427,NA,1.07,NA
Osmorhiza_purpurea,n,NA,NA,NA,NA,NA
Oxytropis_campestris,n,0.3,1.786199296,149.2537313,NA,NA
Paxistima_myrsinites,n,1,NA,NA,NA,NA
Pentagramma_triangularis,n,NA,NA,NA,NA,NA
Perideridia_gairdneri,n,1.2,1.030198427,NA,NA,NA
Petroselinum_crispum,i,NA,1.656424296,NA,NA,NA
Phalaris_arundinacea,i,2,0.68753826,209.1356762,33.66,3.18
Philadelphus_lewisii,n,3,0.111783397,NA,NA,NA
Phyllospadix_scouleri,n,0.4,NA,NA,NA,NA
Picea_sitchensis,n,60.86065574,2.315457185,63.71489817,0.180636635,1.340906734
Pinus_contorta,n,21.81818182,5.66663163,38.17839945,NA,1.081757615
Piperia_elegans,n,NA,NA,NA,NA,NA
Plagiobothrys_scouleri,n,NA,NA,NA,NA,NA
Plantago_elongata,i,NA,NA,NA,NA,NA
Plantago_lanceolata,i,0.43560879,1.258983651,191.1300186,13.30215447,1.826880883
Plantago_major,i,0.230769231,0.175186471,205.4944927,4.581488774,1.342190893
Plantago_maritima,n,0.24,0.396105591,114.9386818,6.669353877,NA
Plectritis_congesta,n,0.6,0.562673973,NA,NA,NA
Poa_annua,i,0.292124306,0.253322893,369.9339183,1.368892137,3.514680872
Poa_bulbosa,i,0.6,0.573100316,208.5693582,0.159162322,1.34228466
Poa_compressa,i,0.6,0.212231483,204.2454144,1.767318609,5.06
Poa_confinis,n,NA,NA,NA,NA,NA
Poa_pratensis,i,0.461538462,0.282177066,218.6366691,9.66850701,2.166492983
Poa_secunda,n,1.2,0.384813303,NA,NA,1.583666632
Poa_trivialis,n,0.406850033,0.150049836,321.6123488,0.905384859,4.26745826
Polygonum_aviculare,i,1,0.965717101,291.4169516,3.302888492,3.733764435
Polygonum_douglasii,n,0.4,1.664393437,NA,NA,NA
Polygonum_fowleri,n,0.5,NA,NA,NA,NA
Polygonum_spergulariiforme,n,NA,NA,NA,NA,NA
Polypodium_glycyrrhiza,n,NA,NA,NA,NA,NA
Polypodium_hesperium,n,NA,NA,NA,NA,NA
Polypogon_monspeliensis,i,0.7,0.083101785,NA,NA,NA
Polystichum_munitum,n,1.5,NA,NA,NA,NA
Populus_tremuloides,n,16.01243127,0.117330417,123.5389196,18.99828662,2.302322432
Potentilla_anserina,n,0.25,0.902587301,208.78982,34.24778424,2.719965555
Primula_pauciflora,n,NA,0.312269662,NA,NA,NA
Prunella_vulgaris,i,0.285714286,0.809860994,288.5187379,6.668260239,1.67474742
Prunus_avium,i,15.38915094,178.545867,190.4136994,26.37000792,1.89833093
Prunus_cerasus,i,NA,162.4189817,149.6723297,24.42484786,2.829911658
Prunus_emarginata,n,15,42.2495271,173.2622931,8.083807807,NA
Prunus_mahaleb,i,9.473684211,83.8023508,196.9160663,7.01420061,2.068225589
Prunus_virginiana,n,10,68.25635896,158.5849192,21.26233322,2.478216425
Pseudognaphalium_stramineum,n,NA,NA,NA,NA,NA
Pseudotsuga_menziesii,n,61.13948696,15.02411298,60.5069259,0.276626178,1.22967247
Pteridium_aquilinum,n,1.7,NA,140.5284953,NA,2.335245064
Puccinellia_nutkaensis,n,NA,NA,NA,NA,NA
Pyrus_calleryana,i,NA,12.9,NA,NA,1.6
Pyrus_communis,i,15,32.2815353,62.06328908,NA,1.374263439
Quercus_garryana,n,25,4273.643507,71.33994171,22.39204267,NA
Ranunculus_californicus,n,0.6,2.364192149,NA,NA,NA
Ranunculus_occidentalis,n,0.6,2.538461945,NA,NA,NA
Ranunculus_uncinatus,n,0.9,0.698538474,NA,NA,NA
Ribes_divaricatum,n,2.666666667,2.06,345.84,11.98,2.28
Ribes_lacustre,n,2,0.919779678,NA,NA,NA
Ribes_sanguineum,n,2.164556962,2.592964007,220.7260746,32.95499962,2.54
Rosa_gymnocarpa,n,1.5,21.0546251,NA,1.91,NA
Rosa_nutkana,n,3,11.87681526,NA,NA,NA
Rubus_armeniacus,i,NA,NA,NA,NA,NA
Rubus_laciniatus,i,NA,NA,NA,NA,NA
Rubus_leucodermis,n,2,1.013653195,297.2710748,22.96548874,NA
Rubus_parviflorus,n,1.985294118,0.994691291,449.36,49.56175317,2.19
Rubus_spectabilis,n,4,3.151148546,185.2408199,19.70796505,NA
Rubus_ursinus,n,2.903225806,2.017121105,183.0051589,12.58190504,2.01
Rubus_vestitus,i,NA,NA,NA,NA,NA
Rumex_acetosella,i,0.241627287,0.501486817,280.4774555,1.652544532,2.498445741
Rumex_conglomeratus,i,1,1.33498522,220,41.9,NA
Rumex_crispus,i,0.461538462,1.410311714,223.1873168,141.0409835,NA
Rumex_occidentalis,n,1.5,1.91517306,NA,NA,NA
Rumex_transitorius,n,NA,NA,NA,NA,NA
Sagina_decumbens,n,0.15,0.011,NA,NA,NA
Sagina_maxima,n,NA,NA,NA,NA,NA
Salix_hookeriana,n,NA,NA,NA,NA,NA
Salix_lasiandra,n,NA,NA,NA,NA,NA
Salix_scouleriana,n,NA,NA,NA,NA,NA
Salix_sitchensis,n,NA,NA,NA,NA,NA
Sambucus_racemosa,n,3.318277634,1.88860629,281.1331973,106.9625018,5.99
Sanicula_arctopoides,n,0.3,2.824666788,NA,NA,NA
Sanicula_bipinnatifida,n,0.6,1.928,NA,NA,NA
Sanicula_crassicaulis,n,1.2,4.662492388,NA,NA,NA
Sarcocornia_perennis,n,NA,4.851536994,NA,NA,NA
Satureja_douglasii,n,NA,NA,NA,NA,NA
Saxifraga_caespitosa,n,NA,NA,NA,NA,NA
Scorzoneroides_autumnalis,i,NA,0.694395374,258.2912126,1.120193432,2.142405648
Sedum_album,i,0.2,0.032938388,183.5043747,0.224399626,NA
Sedum_lanceolatum,n,0.25,0.080672425,NA,NA,NA
Sedum_spathulifolium,n,NA,NA,NA,NA,NA
Selaginella_wallacei,n,NA,NA,NA,NA,NA
Senecio_sylvaticus,i,0.8,0.262825591,295,53.36,NA
Senecio_vulgaris,i,0.495,0.217471783,302.5704943,3.320963716,NA
Shepherdia_canadensis,n,2,8.88606731,NA,NA,NA
Sherardia_arvensis,i,NA,1.554623388,221.2662107,0.081240384,NA
Silene_antirrhina,i,0.8,0.076307285,NA,NA,NA
Silene_coronaria,i,NA,NA,NA,NA,NA
Silene_gallica,i,0.5,0.330994005,339.4001015,4.38533352,NA
Silene_menziesii,n,0.7,0.245295088,NA,NA,NA
Silene_scouleri,n,0.8,0.2956,NA,NA,NA
Sinapis_arvensis,i,0.666666667,1.632358497,321.3794661,70.9516735,NA
Solanum_dulcamara,i,3,2.773823092,310.8730142,13.56651386,3.98873037
Solidago_lepida,n,NA,NA,NA,NA,NA
Soliva_sessilis,i,NA,0.938798109,NA,NA,NA
Sonchus_arvensis,i,2,0.465857556,212.3101594,49.94287684,NA
Sonchus_asper,i,1.2,0.272022164,246.2412424,50.59968119,3.29
Sonchus_oleraceus,i,1.2,0.31684064,348.5341287,39.79099623,2.882149565
Sorbus_aucuparia,i,1.466037513,4.354886292,155.2289308,6.168301951,2.054011683
Sorbus_hybrida,i,NA,NA,NA,NA,NA
Sorbus_intermedia,i,7.2,26.12212565,174.1614695,52.7809303,NA
Spergularia_canadensis,n,NA,NA,NA,NA,NA
Spergularia_macrotheca,n,0.45,0.094630274,NA,NA,NA
Spergularia_rubra,i,0.3,0.042786997,153.1571714,0.091651514,2.71
Spergularia_salina,n,NA,NA,NA,NA,NA
Spiranthes_romanzoffiana,n,0.5,0.0013759,NA,NA,NA
Stellaria_crispa,n,0.6,0.057227616,NA,NA,NA
Stellaria_media,i,0.409090909,0.303420742,358.8464209,3.075897726,4.043831184
Stellaria_nitens,n,0.25,0.096,NA,NA,NA
Symphoricarpos_albus,n,1.987012987,5.894830775,224.7187713,19.46608042,1.371594582
Symphyotrichum_subspicatum,n,NA,NA,NA,NA,NA
Taeniatherum_caput_medusae,i,NA,6.216722615,NA,NA,1.83
Taraxacum_officinale,i,0.6,0.631089303,309.7168031,37.18,3.569312249
Taxus_brevifolia,n,15,30.89190426,90.62390849,0.22,1.186026973
Teesdalia_nudicaulis,i,0.25,0.29007774,278.9336839,1.044413711,NA
Tellima_grandiflora,n,0.8,0.0483556,342.1184006,57.77,NA
Thuja_plicata,n,60,1.347086579,NA,NA,1.186303521
Tiarella_trifoliata,n,0.5,0.426724564,NA,NA,NA
Toxicoscordion_venenosum,n,NA,1.663359651,NA,NA,NA
Tragopogon_porrifolius,i,1,11.46463558,293.6887403,13.34863939,NA
Trientalis_latifolia,n,NA,NA,NA,NA,NA
Trifolium_dubium,i,0.333333333,0.379751199,292.4753661,1.289883716,NA
Trifolium_incarnatum,i,0.8,2.665283334,282.814481,14.18684249,NA
Trifolium_macraei,n,0.3,1.52,NA,NA,NA
Trifolium_microcephalum,n,0.7,0.519199384,NA,NA,2.89
Trifolium_microdon,n,NA,NA,NA,NA,NA
Trifolium_oliganthum,n,0.35,1.062,NA,NA,NA
Trifolium_pratensis,i,NA,NA,NA,NA,NA
Trifolium_procumbens,i,NA,NA,NA,NA,NA
Trifolium_repens,i,0.171428571,0.55993871,280.1702401,3.669746609,4.083380606
Trifolium_subterraneum,i,NA,6.519350036,250,NA,5.13
Trifolium_tridentatum,n,NA,NA,NA,NA,NA
Trifolium_variegatum,n,0.6,1.4583747,NA,NA,NA
Triglochin_maritima,n,1.2,0.579672792,110.8527077,3.737214378,NA
Triphysaria_pusilla,n,0.2,0.228835004,NA,NA,NA
Trisetum_cernuum,n,NA,0.665302939,NA,NA,NA
Triteleia_grandiflora,n,0.7,1.2025,NA,NA,NA
Triteleia_hyacinthina,n,0.6,1.1856,NA,NA,NA
Tsuga_heterophylla,n,60,1.914950852,90.5097692,0.16,1.180839834
Turritis_glabra,n,1.2,0.066238662,257.8523087,7.301206205,NA
Typha_latifolia,n,2.727272727,0.071737302,97.01537514,218.502322,1.240192825
Urtica_dioica,n,2,0.136105062,269.0681423,31.54897371,4.360904847
Vaccinium_ovatum,n,3,1.636435002,NA,NA,0.684105255
Vaccinium_parvifolium,n,4,0.222008076,204.1743443,1.508973161,NA
Valeriana_hookeri,n,NA,NA,NA,NA,NA
Valerianella_locusta,i,0.04,1.710904666,317,1.52,NA
Veronica_arvensis,i,0.16,0.113359679,310.925452,1.049779848,NA
Veronica_chamaedrys,i,0.15,0.20636128,295.9284433,2.923066309,1.888987883
Veronica_officinalis,i,0.4,0.133932853,254.8623022,0.774209274,1.959907249
Veronica_peregrina,i,0.25,0.032529524,305.9564263,0.395575557,NA
Veronica_serpyllifolia,i,0.3,0.056224391,228.5810126,1.88,NA
Vicia_americana,n,0.461538462,12.64809333,NA,NA,2.588397187
Vicia_cracca,i,2,14.195288,260.9799102,9.581503014,4.070856733
Vicia_hirsuta,i,0.7,5.074275981,214.0022717,2.498803694,NA
Vicia_nigricans,n,2,89.80896392,NA,2.180917238,NA
Vicia_sativa,i,0.8,22.01765454,253.2226504,3.295071334,NA
Vinca_major,i,0.48,19.4088,188.4610957,26.07,NA
Vitis_riparia,i,NA,79,268.4958274,NA,1.57
Vitis_vinifera,i,NA,27.82085549,268.7572548,119.6264764,2.523057513
Vulpia_bromoides,i,0.55,0.441502166,187.6299006,0.377021967,NA
Vulpia_microstachys,n,0.4,1.001672829,NA,NA,NA
